Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.73783E-4,44.5098196,0.636496857,0.206053068,0.324675325,0
1.74386E-4,44.753541589,0.637770604,0.20460199,0.324675325,0
1.74997E-4,45.01558678,0.639056035,0.203047264,0.324675325,0
1.75463E-4,45.26091904,0.640034161,0.201596186,0.324675325,0
1.76264E-4,45.507060305,0.641709595,0.200145108,0.337662338,0
1.76921E-4,45.754208929,0.643077742,0.19869403,0.337662338,0
1.77893E-4,46.002689003,0.645093742,0.197242952,0.350649351,0
1.78838E-4,46.252338869,0.647040189,0.195791874,0.363636364,0
1.79306E-4,46.503074294,0.648000935,0.194340796,0.363636364,0
1.8008E-4,46.754750259,0.649584835,0.192889718,0.363636364,0
1.80731E-4,47.007357764,0.650909889,0.19143864,0.363636364,0
1.81266E-4,47.260850242,0.651994842,0.189987562,0.363636364,0
1.82177E-4,47.515286028,0.653836896,0.188536484,0.363636364,0
1.83568E-4,47.752956287,0.656628838,0.187189055,0.363636364,0
1.84194E-4,48.010497512,0.657878564,0.185737977,0.376623377,0
1.84797E-4,48.250371939,0.659078332,0.184390547,0.38961039,0
1.8548E-4,48.509680977,0.660431962,0.182939469,0.38961039,0
1.86248E-4,48.751439292,0.661947003,0.18159204,0.38961039,0
1.86889E-4,49.012726515,0.663206363,0.180140962,0.38961039,0
1.87719E-4,49.256098429,0.664829975,0.178793532,0.402597403,0
1.88534E-4,49.500758507,0.666417537,0.177446103,0.402597403,0
1.9E-4,49.765693862,0.669251875,0.175995025,0.402597403,0
1.90928E-4,50.013342266,0.67103522,0.174647595,0.402597403,0
1.91517E-4,50.261949589,0.672161181,0.173300166,0.402597403,0
1.92187E-4,50.511354107,0.673438252,0.171952736,0.415584416,0
1.93385E-4,50.762057592,0.675707944,0.170605307,0.415584416,0
1.94322E-4,51.014080816,0.677472108,0.169257877,0.415584416,0
1.95039E-4,51.267225404,0.678816923,0.167910448,0.415584416,0
1.955E-4,51.501511787,0.67967716,0.166666667,0.415584416,0
1.96237E-4,51.756127543,0.6810502,0.165319237,0.415584416,0
1.97083E-4,52.011931503,0.682617532,0.163971808,0.428571429,0
1.98105E-4,52.268819427,0.684499469,0.162624378,0.428571429,0
1.98737E-4,52.506943479,0.685659165,0.161380597,0.428571429,0
1.99242E-4,52.765652875,0.686582753,0.160033167,0.428571429,0
1.99788E-4,53.005069324,0.687576382,0.158789386,0.441558442,0
2.00347E-4,53.265249849,0.688592736,0.157441957,0.441558442,0
2.01057E-4,53.506116884,0.689876922,0.156198176,0.441558442,0
2.01769E-4,53.768003802,0.691159499,0.154850746,0.441558442,0
2.02659E-4,54.01068933,0.692756654,0.153606965,0.441558442,0
2.03539E-4,54.254470177,0.694327807,0.152363184,0.441558442,0
2.04544E-4,54.519549036,0.696110086,0.151015755,0.441558442,0
2.05415E-4,54.765596521,0.697648441,0.149771973,0.441558442,0
